"keys","en","vi"
"DED_PROTO_X_PROTOB_COMPLETION","You've formed two solid deductions from the evidence: someone other than Mara used her badge, and the courtyard window was forced from inside to fake a break-in. Whether that adds up to a full case against anyone is a question for another day — for now, two connections, soundly made.","Bạn đã hình thành hai suy luận vững chắc từ bằng chứng: có người khác ngoài Mara đã dùng thẻ của cô, và cửa sổ hướng ra sân trong đã bị phá từ bên trong để dàn dựng một vụ đột nhập. Liệu điều đó có đủ để kết luận toàn bộ vụ án hay không là câu hỏi để dành cho lúc khác — còn bây giờ, đó là hai kết nối được thiết lập vững chắc."
"DED_PROTO_Y_PROTOB_Q1","What does the cold-room log really tell you about who used Teodor's key card?","Đâu là điều mà sổ ghi phòng lạnh thực sự cho thấy về việc ai đã dùng thẻ từ của Teodor?"
"DED_PROTO_Y_PROTOB_EXP1","The cold-room log proves the card was physically held to the reader at 21:12. The shuttle timetable shows the trip from Riverside takes at least 20 minutes. The record placing Teodor himself at Riverside around that time shows he was too far away to have presented the card in person. Together, these facts show someone other than Teodor used his card.","Sổ ghi phòng lạnh chứng minh chiếc thẻ đã thực sự được đưa vào đầu đọc lúc 21:12. Bảng giờ xe đưa đón cho thấy quãng đường từ Riverside mất ít nhất 20 phút. Bản ghi xác nhận chính Teodor có mặt ở Riverside vào khoảng thời gian đó cho thấy anh ở quá xa để có thể tự mình đưa thẻ vào đầu đọc. Cùng nhau, những sự kiện này cho thấy có người khác ngoài Teodor đã dùng thẻ của anh."
"DED_PROTO_Y_PROTOB_Q2","What does the forced vent hatch really show about how the cold room was entered?","Đâu là điều mà cửa gió bị phá thực sự cho thấy về cách phòng lạnh bị xâm nhập?"
"DED_PROTO_Y_PROTOB_EXP2","The maintenance diagram states that a forced retaining tab bends away from the side the force came from. The tabs are bent outward, into the duct. The forced-hatch inspection also shows the hatch dust settled on top of scuffs that already led to the rack — those scuffs existed before the hatch was forced. Together, these facts show the hatch was forced from inside, after someone had already walked to the rack, to fake an outside entry.","Sơ đồ bảo trì ghi rằng các mấu giữ bị phá sẽ bẻ cong về phía ngược với hướng lực tác động. Các mấu giữ bị bẻ cong ra ngoài, vào trong đường ống. Việc kiểm tra cửa gió bị phá cũng cho thấy lớp bụi từ cửa gió rơi đè lên những vết trầy đã có sẵn dẫn đến giá để mẫu — những vết trầy đó đã tồn tại trước khi cửa gió bị phá. Cùng nhau, những sự kiện này cho thấy cửa gió bị phá từ bên trong, sau khi có người đã đi đến giá để mẫu, để tạo cảm giác như có người xâm nhập từ bên ngoài."
"DED_PROTO_Y_PROTOB_COMPLETION","You've formed two solid deductions from the evidence: someone other than Teodor used his key card, and the vent hatch was forced from inside to fake an outside entry. Whether that adds up to a full case against anyone is a question for another day — for now, two connections, soundly made.","Bạn đã hình thành hai suy luận vững chắc từ bằng chứng: có người khác ngoài Teodor đã dùng thẻ của anh, và cửa gió đã bị phá từ bên trong để dàn dựng một vụ xâm nhập từ bên ngoài. Liệu điều đó có đủ để kết luận toàn bộ vụ án hay không là câu hỏi để dành cho lúc khác — còn bây giờ, đó là hai kết nối được thiết lập vững chắc."
"DED_PROTO_Z_PROTOB_Q1","What does the seal registry really tell you about who used Nadia's scanner?","Đâu là điều mà sổ đăng ký niêm phong thực sự cho thấy về việc ai đã dùng máy quét của Nadia?"
"DED_PROTO_Z_PROTOB_EXP1","The seal registry proves the scanner was physically held to the seal at 06:42. The port map note shows the trip from the ferry pier takes at least 30 minutes. The record placing Nadia herself at the ferry around that time shows she was too far away to have used the scanner in person. Together, these facts show someone other than Nadia used her scanner.","Sổ đăng ký niêm phong chứng minh chiếc máy quét đã thực sự được áp vào con dấu lúc 06:42. Ghi chú bản đồ cảng cho thấy quãng đường từ bến phà mất ít nhất 30 phút. Bản ghi xác nhận chính Nadia có mặt ở bến phà vào khoảng thời gian đó cho thấy cô ở quá xa để có thể tự mình dùng máy quét. Cùng nhau, những sự kiện này cho thấy có người khác ngoài Nadia đã dùng máy quét của cô."
"DED_PROTO_Z_PROTOB_Q2","What does the cut rear fence really show about how the cage area was entered?","Đâu là điều mà hàng rào phía sau bị cắt thực sự cho thấy về cách khu vực lồng hàng bị xâm nhập?"
"DED_PROTO_Z_PROTOB_EXP2","The safety sheet states that a cut wire end bends away from the side the force came from. The wire ends are bent outward, toward the street. The cut-fence inspection also shows the clippings settled on top of boot prints that already led to the parcel — those prints existed before the fence was cut. Together, these facts show the fence was cut from inside, after someone had already walked to the parcel, to fake an outside entry.","Tờ hướng dẫn an toàn ghi rằng đầu dây thép bị cắt sẽ bẻ cong về phía ngược với hướng lực tác động. Các đầu dây thép bị bẻ cong ra ngoài, về phía đường phố. Việc kiểm tra hàng rào bị cắt cũng cho thấy các mảnh vụn rơi đè lên những dấu giày đã có sẵn dẫn đến kiện hàng — những dấu giày đó đã tồn tại trước khi hàng rào bị cắt. Cùng nhau, những sự kiện này cho thấy hàng rào bị cắt từ bên trong, sau khi có người đã đi đến kiện hàng, để tạo cảm giác như có người xâm nhập từ bên ngoài."
"DED_PROTO_Z_PROTOB_COMPLETION","You've formed two solid deductions from the evidence: someone other than Nadia used her scanner, and the rear fence was cut from inside to fake an outside entry. Whether that adds up to a full case against anyone is a question for another day — for now, two connections, soundly made.","Bạn đã hình thành hai suy luận vững chắc từ bằng chứng: có người khác ngoài Nadia đã dùng máy quét của cô, và hàng rào phía sau đã bị cắt từ bên trong để dàn dựng một vụ xâm nhập từ bên ngoài. Liệu điều đó có đủ để kết luận toàn bộ vụ án hay không là câu hỏi để dành cho lúc khác — còn bây giờ, đó là hai kết nối được thiết lập vững chắc."
"UI_PROTOTYPE_C_TITLE","Prototype C — Timeline Reconstruction","Nguyên Mẫu C — Tái Dựng Mốc Thời Gian"
"UI_PROTOTYPE_C_LAUNCH_BUTTON","Launch Prototype C — Timeline Reconstruction","Khởi Chạy Nguyên Mẫu C — Tái Dựng Mốc Thời Gian"
"UI_PROTOTYPE_C_RETURN_TO_LAB","Return to Lab","Quay Lại Phòng Thí Nghiệm"
"UI_PROTOTYPE_C_START","Start","Bắt Đầu"
"UI_PROTOTYPE_C_RESTART","Restart","Chơi Lại"
"UI_PROTOTYPE_C_NO_CASE_SELECTED","No case selected yet.","Chưa chọn vụ án nào."
"UI_PROTOTYPE_C_CHECK_BUTTON","Check Timeline","Kiểm Tra Mốc Thời Gian"
"UI_PROTOTYPE_C_HINT","Hint","Gợi Ý"
"UI_PROTOTYPE_C_CONTINUE","Continue","Tiếp Tục"
"UI_PROTOTYPE_C_SLOT_EMPTY","(empty)","(trống)"
"UI_PROTOTYPE_C_PLACE_BUTTON","Place Here","Đặt Vào Đây"
"UI_PROTOTYPE_C_REMOVE_BUTTON","Remove","Gỡ Ra"
"UI_PROTOTYPE_C_SELECT_BUTTON","Select","Chọn"
"UI_PROTOTYPE_C_SELECTED_LABEL","Selected","Đã Chọn"
"UI_PROTOTYPE_C_LOCKED_LABEL","locked","đã khóa"
"UI_PROTOTYPE_C_FACT_OPEN_BUTTON","View","Xem"
"UI_PROTOTYPE_C_FACT_UNOPENED","(unopened)","(chưa xem)"
"UI_PROTOTYPE_C_VIOLATIONS_LABEL","This timeline conflicts with:","Mốc thời gian này mâu thuẫn với:"
"UI_PROTOTYPE_C_FEEDBACK_SUCCESS_HEADLINE","Timeline confirmed","Mốc thời gian đã được xác nhận"
"UI_PROTOTYPE_C_FEEDBACK_INVALID","Place every event on the timeline before checking it.","Hãy đặt mọi sự kiện lên mốc thời gian trước khi kiểm tra."
"UI_PROTOTYPE_C_CLAIM_FITS_BUTTON","Fits the timeline","Phù hợp với mốc thời gian"
"UI_PROTOTYPE_C_CLAIM_IMPOSSIBLE_BUTTON","Impossible","Không thể xảy ra"
"UI_PROTOTYPE_C_COMPLETE_TITLE","Timeline Reconstructed","Đã Tái Dựng Mốc Thời Gian"
"UI_PROTOTYPE_C_CONFIRM_RESTART","Restart? All progress on this run will be lost.","Chơi lại? Mọi tiến trình của lượt chơi này sẽ mất."
"UI_PROTOTYPE_C_CONFIRM_EXIT","Return to the Lab? Your progress on this run will be lost.","Quay lại Phòng Thí Nghiệm? Tiến trình của lượt chơi này sẽ mất."
"UI_PROTOTYPE_C_RECORDER_START","Start Recording","Bắt Đầu Ghi"
"UI_PROTOTYPE_C_RECORDER_STOP","Stop","Dừng"
"UI_PROTOTYPE_C_RECORDER_CLEAR","Clear","Xóa"
"UI_PROTOTYPE_C_RECORDER_EXPORT","Export Recording","Xuất Bản Ghi"
"UI_PROTOTYPE_C_STATS_SUBMISSIONS","Timeline checks: %d","Số lần kiểm tra: %d"
"UI_PROTOTYPE_C_STATS_FAILED","Failed checks: %d","Số lần kiểm tra thất bại: %d"
"UI_PROTOTYPE_C_STATS_MOVES","Placements and moves: %d","Số lần đặt và di chuyển: %d"
"UI_PROTOTYPE_C_STATS_FACTS_OPENED","Facts opened: %d","Số sự kiện đã xem: %d"
"UI_PROTOTYPE_C_STATS_CLAIM_ATTEMPTS","Claim check attempts: %d","Số lần thử kiểm tra lời khai: %d"
"UI_PROTOTYPE_C_CLAIM_WRONG_FEEDBACK","That verdict and supporting fact don't hold together against your confirmed timeline.","Kết luận và sự kiện làm căn cứ đó không khớp với mốc thời gian bạn đã xác nhận."
"UI_PROTOTYPE_C_CLAIM_WRONG_VERDICT","Your confirmed timeline doesn't support that verdict.","Mốc thời gian đã xác nhận không ủng hộ kết luận đó."
"UI_PROTOTYPE_C_CLAIM_WRONG_JUSTIFICATION","The verdict holds, but that fact doesn't settle this claim on its own.","Kết luận đúng, nhưng tự sự kiện đó chưa đủ để giải quyết lời khai này."
"UI_PROTOTYPE_C_CLAIM_NEEDS_JUSTIFICATION","Choose a verdict and the established fact that supports it before submitting.","Hãy chọn kết luận và sự kiện đã xác lập làm căn cứ trước khi gửi."
"UI_PROTOTYPE_C_CLAIM_DUPLICATE","You've already submitted exactly this verdict and fact. Change one of them first — this costs nothing.","Bạn đã gửi đúng kết luận và sự kiện này rồi. Hãy thay đổi một trong hai trước — lần này không bị tính."
"UI_PROTOTYPE_C_CLAIM_INSTRUCTIONS","Decide whether the claim fits your confirmed timeline, then choose the established fact that proves it.","Hãy quyết định lời khai này có khớp với mốc thời gian đã xác nhận không, rồi chọn sự kiện đã xác lập chứng minh điều đó."
"UI_PROTOTYPE_C_JUSTIFICATION_LABEL","Supporting fact:","Sự kiện làm căn cứ:"
"UI_PROTOTYPE_C_CLAIM_SUBMIT_BUTTON","Submit Verdict","Gửi Kết Luận"
"UI_PROTOTYPE_C_JUSTIFICATION_RESULT","Your supporting fact: %s","Sự kiện làm căn cứ của bạn: %s"
"UI_PROTOTYPE_C_CATEGORY_ANCHOR","a fixed, confirmed time","một mốc thời gian cố định đã được xác nhận"
"UI_PROTOTYPE_C_CATEGORY_WINDOW","a confirmed time window","một khoảng thời gian đã được xác nhận"
"UI_PROTOTYPE_C_CATEGORY_ORDER","the order two events must happen in","thứ tự bắt buộc giữa hai sự kiện"
"UI_PROTOTYPE_C_CATEGORY_OVERLAP","two events that cannot happen at the same moment","hai sự kiện không thể diễn ra cùng lúc"
"UI_PROTOTYPE_C_CATEGORY_TRAVEL","the travel time between two places","thời gian di chuyển giữa hai địa điểm"
"UI_PROTOTYPE_C_FEEDBACK_CATEGORY","This timeline conflicts with one or more established facts. Look again at %s.","Mốc thời gian này mâu thuẫn với một hoặc nhiều sự kiện đã được xác lập. Hãy xem lại %s."
"UI_PROTOTYPE_C_FEEDBACK_FACT","This timeline conflicts with an established fact:","Mốc thời gian này mâu thuẫn với một sự kiện đã được xác lập:"
"UI_PROTOTYPE_C_CONFLICT_LABEL","conflict","mâu thuẫn"
"UI_PROTOTYPE_C_ASSISTANCE_PAIR","Critical relationship: %s","Mối quan hệ then chốt: %s"
"UI_PROTOTYPE_C_ASSISTANCE_CLAIM","Your partner notes that this claim is about when “%s” happened. Find the confirmed fact that pins that event down.","Cộng sự của bạn lưu ý lời khai này liên quan đến thời điểm “%s”. Hãy tìm sự kiện đã xác nhận giới hạn thời điểm đó."
"UI_PROTOTYPE_C_PARTNER_TIMELINE_NOTE","Your partner rebuilt the timeline so every established fact holds — including the ones your last attempt broke:","Cộng sự của bạn đã dựng lại mốc thời gian sao cho mọi sự kiện đã xác lập đều đúng — kể cả những điều lần thử trước của bạn đã vi phạm:"
"UI_PROTOTYPE_C_PARTNER_CLAIM_NOTE","Your partner settled the claim with the confirmed fact below.","Cộng sự của bạn đã giải quyết lời khai bằng sự kiện đã xác nhận dưới đây."
"UI_RESOLUTION_TIER_INDEPENDENT","Independent","Tự lực"
"UI_RESOLUTION_TIER_GUIDED","Guided","Có hướng dẫn"
"UI_RESOLUTION_TIER_ASSISTED","Assisted","Được hỗ trợ"
"UI_RESOLUTION_STATUS_ATTEMPTS","Formal commits before assistance: %d/%d","Lượt xác nhận chính thức trước khi cần hỗ trợ: %d/%d"
"UI_RESOLUTION_STATUS_ASSISTANCE_REQUIRED","Assistance required before submitting again","Cần nhận hỗ trợ trước khi gửi tiếp"
"UI_RESOLUTION_STATUS_ASSISTED_ATTEMPTS","Assisted attempts remaining: %d/%d","Lượt thử có hỗ trợ còn lại: %d/%d"
"UI_RESOLUTION_STATUS_PARTNER_AVAILABLE","Blind submissions closed — partner resolution available","Đã khóa việc gửi đoán mò — có thể giải quyết cùng cộng sự"
"UI_RESOLUTION_STATUS_RESOLVED","Resolved","Đã giải quyết"
"UI_RESOLUTION_STATUS_RESOLVED_PARTNER","Resolved with your partner","Đã giải quyết cùng cộng sự"
"UI_RESOLUTION_STATUS_TIER","Resolution: %s","Mức độ giải quyết: %s"
"UI_RESOLUTION_RUN_RESULT","Run result so far: %s","Kết quả lượt chơi tính đến nay: %s"
"UI_RESOLUTION_RUN_RESULT_FROM_EARLIER","Run result so far: %s (reached during an earlier challenge — this challenge is still fresh)","Kết quả lượt chơi tính đến nay: %s (đạt được ở một thử thách trước — thử thách này vẫn còn mới)"
"UI_RESOLUTION_HINT_NOTICE","Hints are optional. Using hint levels 1–2 marks this run Guided; levels 3–4 mark it Assisted.","Gợi ý là tùy chọn. Dùng gợi ý cấp 1–2 sẽ đánh dấu lượt chơi là Có hướng dẫn; cấp 3–4 là Được hỗ trợ."
"UI_RESOLUTION_NOTICE_ASSISTANCE_REQUIRED","That's three unsupported attempts. Your partner wants to step in — accept assistance before submitting again.","Đó là lần thử không có cơ sở thứ ba. Cộng sự của bạn muốn giúp một tay — hãy nhận hỗ trợ trước khi gửi tiếp."
"UI_RESOLUTION_NOTICE_PARTNER_AVAILABLE","Blind submissions are now closed for this puzzle. You can resolve it with your partner — nothing is lost and nothing needs replaying.","Việc gửi đoán mò cho câu đố này đã bị khóa. Bạn có thể giải quyết cùng cộng sự — không mất gì và không phải chơi lại."
"UI_RESOLUTION_NOTICE_TIER_CHANGED","This run is now %s.","Lượt chơi này hiện ở mức %s."
"UI_RESOLUTION_SUBMISSION_LOCKED","Submissions are paused for this puzzle. Accept assistance or resolve it with your partner first.","Việc gửi đang tạm khóa cho câu đố này. Hãy nhận hỗ trợ hoặc giải quyết cùng cộng sự trước."
"UI_RESOLUTION_INTERNAL_ERROR","Something went wrong while resolving this. Nothing was marked as solved.","Đã có lỗi khi giải quyết. Chưa có gì được đánh dấu là đã giải."
"UI_RESOLUTION_ACCEPT_ASSISTANCE","Accept Assistance","Nhận Hỗ Trợ"
"UI_RESOLUTION_RESOLVE_WITH_PARTNER","Resolve with Partner","Giải Quyết Cùng Cộng Sự"
"UI_RESOLUTION_ASSISTANCE_HEADLINE","Assisted Mode — your partner's pointer","Chế Độ Hỗ Trợ — gợi ý từ cộng sự"
"UI_RESOLUTION_PARTNER_HEADLINE","Resolved with your partner","Đã giải quyết cùng cộng sự"
"UI_RESOLUTION_STATS_TIME","Time: %s","Thời gian: %s"
"UI_RESOLUTION_STATS_FORMAL_COMMITS","Formal commits: %d","Số lượt xác nhận chính thức: %d"
"UI_RESOLUTION_STATS_FAILED_COMMITS","Failed formal commits: %d","Số lượt xác nhận thất bại: %d"
"UI_RESOLUTION_STATS_HINTS","Hints used: %d","Số gợi ý đã dùng: %d"
"UI_RESOLUTION_STATS_ASSISTANCE","Assistance used: %s","Đã nhận hỗ trợ: %s"
"UI_RESOLUTION_STATS_TIER","Resolution tier: %s","Mức độ giải quyết: %s"
"UI_RESOLUTION_STATS_PARTNER","Partner resolution used: %s","Đã giải quyết cùng cộng sự: %s"
"UI_RESOLUTION_YES","Yes","Có"
"UI_RESOLUTION_NO","No","Không"
"UI_PROTOTYPE_A_CREDIBILITY","Credibility: %d/%d","Độ tin cậy: %d/%d"
"UI_PROTOTYPE_A_REBUTTAL","%s brushes it aside: “That doesn't prove anything.”","%s gạt phăng đi: “Cái đó chẳng chứng minh được gì cả.”"
"UI_PROTOTYPE_A_FEEDBACK_DUPLICATE","You've already presented that evidence against this statement. Choose something different — this costs no credibility.","Bạn đã đưa bằng chứng đó để phản bác lời khai này rồi. Hãy chọn thứ khác — lần này không bị trừ độ tin cậy."
"UI_PROTOTYPE_A_PARTNER_NOTE","Your partner presents “%s” against the statement.","Cộng sự của bạn đưa ra “%s” để phản bác lời khai."
"UI_PROTOTYPE_A_ASSISTANCE_FOCUS","Focus on what %s said: “%s”","Hãy tập trung vào điều %s đã nói: “%s”"
"UI_PROTOTYPE_A_PARTNER_FOCUS_LABEL","Partner focus","Cộng sự lưu ý"
"DED_PROTO_X_PROTOC_OBJECTIVE","Reconstruct the evening's events at the archive, from Mara leaving to the cardigan being returned, using only the confirmed facts below.","Hãy tái dựng lại trình tự các sự kiện buổi tối tại kho lưu trữ, từ lúc Mara rời đi đến khi áo cardigan được trả lại, chỉ dựa trên những sự kiện đã xác nhận dưới đây."
"DED_PROTO_X_PROTOC_FACT_BADGE_TIME","The door log confirms the badge was used to open Stack Room 3 at exactly 20:06.","Nhật ký cửa xác nhận thẻ đã được dùng để mở Phòng Kho 3 vào đúng lúc 20:06."
"DED_PROTO_X_PROTOC_FACT_TRAM_TIME","Transit and camera records confirm Mara's travel card tapped out at Harbor Station at exactly 20:04.","Dữ liệu giao thông và camera xác nhận thẻ đi tàu của Mara quẹt ra tại ga Cảng vào đúng lúc 20:04."
"DED_PROTO_X_PROTOC_FACT_MARA_LEAVES","Mara says she left the archive sometime between 19:25 and 19:45.","Mara nói cô rời kho lưu trữ trong khoảng từ 19:25 đến 19:45."
"DED_PROTO_X_PROTOC_FACT_MARA_TRAVEL","The transit map note shows the fastest trip from the archive to Harbor Station takes at least 25 minutes.","Ghi chú bản đồ giao thông cho thấy chuyến đi nhanh nhất từ kho lưu trữ đến ga Cảng mất ít nhất 25 phút."
"DED_PROTO_X_PROTOC_FACT_CARDIGAN_TAKEN","The lost-property sheet places the cardigan being taken from the rack between 19:45 and 19:50.","Sổ đồ thất lạc ghi thời điểm áo cardigan được lấy khỏi giá trong khoảng từ 19:45 đến 19:50."
"DED_PROTO_X_PROTOC_FACT_CARDIGAN_RETURNED","The same sheet places the cardigan being handed back in between 20:13 and 20:16.","Cùng cuốn sổ đó ghi thời điểm áo cardigan được trả lại trong khoảng từ 20:13 đến 20:16."
"DED_PROTO_X_PROTOC_FACT_WINDOW_AFTER_ENTRY","The window was forced open at least a minute after the badge was used to enter.","Cửa sổ bị phá mở ít nhất một phút sau khi thẻ được dùng để vào phòng."
"DED_PROTO_X_PROTOC_FACT_WINDOW_HEARD","The night guard reports hearing the window forced sometime between 20:07 and 20:13.","Bảo vệ đêm cho biết đã nghe tiếng cửa sổ bị phá trong khoảng từ 20:07 đến 20:13."
"DED_PROTO_X_PROTOC_FACT_WINDOW_NOT_DURING_ERRAND","The window could not have been forced at the exact same moment the shredding pickup was underway.","Cửa sổ không thể bị phá đúng vào lúc việc bàn giao giấy hủy đang diễn ra."
"DED_PROTO_X_PROTOC_FACT_SHREDDING_WINDOW","The shredding contractor's log places the pickup between 20:08 and 20:12.","Sổ của bên thu gom giấy hủy ghi thời điểm bàn giao trong khoảng từ 20:08 đến 20:12."
"DED_PROTO_X_PROTOC_CONTRADICTION_EXP","Your confirmed timeline places the shredding pickup at %s — but Ilse claims she had already locked up and gone home by 19:45. Those can't both be true.","Trên mốc thời gian bạn đã xác nhận, việc bàn giao giấy hủy diễn ra lúc %s — nhưng Ilse lại nói cô đã khóa cửa và về nhà trước 19:45. Hai điều đó không thể cùng đúng."
"DED_PROTO_X_PROTOC_COMPLETION","Your reconstructed timeline holds up under every confirmed fact — and it makes Ilse's claim about leaving early impossible.","Mốc thời gian bạn tái dựng đứng vững trước mọi sự kiện đã xác nhận — và nó khiến lời khai của Ilse về việc về sớm trở nên không thể xảy ra."
"DED_PROTO_X_PROTOC_HINT_1","Start with the two fixed anchors — the badge and the travel-card tap — then work outward from them.","Hãy bắt đầu từ hai mốc cố định — thẻ ra vào và lượt quẹt thẻ đi tàu — rồi suy ra các sự kiện còn lại từ đó."
"DED_PROTO_X_PROTOC_HINT_2","Mara's claimed departure window only narrows down to a few minutes once you also account for how long the trip to Harbor Station takes.","Khoảng thời gian Mara nói cô rời đi chỉ thu hẹp còn vài phút khi bạn tính thêm thời gian đi đến ga Cảng."
"DED_PROTO_X_PROTOC_HINT_3","The window can only have been forced after the badge was used — and never at the exact same minute as the shredding pickup.","Cửa sổ chỉ có thể bị phá sau khi thẻ được dùng — và không bao giờ đúng vào phút mà việc bàn giao giấy hủy diễn ra."
"DED_PROTO_X_PROTOC_HINT_4","Compare the shredding pickup's own confirmed window against when the window was heard being forced — only one order of those two events fits every fact.","Hãy so sánh khoảng thời gian bàn giao giấy hủy đã xác nhận với thời điểm nghe thấy cửa sổ bị phá — chỉ có một thứ tự giữa hai sự kiện này khớp với mọi sự kiện đã biết."
"DED_PROTO_Y_PROTOC_OBJECTIVE","Reconstruct the evening's events at the lab building, from Teodor leaving to the lab coat being returned, using only the confirmed facts below.","Hãy tái dựng lại trình tự các sự kiện buổi tối tại tòa nhà phòng thí nghiệm, từ lúc Teodor rời đi đến khi áo blouse được trả lại, chỉ dựa trên những sự kiện đã xác nhận dưới đây."
"DED_PROTO_Y_PROTOC_FACT_CARD_TIME","The cold-room lock log confirms the key card was used to open the cold room at exactly 21:12.","Nhật ký khóa phòng lạnh xác nhận thẻ từ đã được dùng để mở phòng lạnh vào đúng lúc 21:12."
"DED_PROTO_Y_PROTOC_FACT_GYM_TIME","The gym entry system and desk camera confirm Teodor checked in at Riverside Gym at exactly 21:09.","Hệ thống ra vào phòng gym và camera ở quầy xác nhận Teodor quẹt thẻ vào Riverside Gym vào đúng lúc 21:09."
"DED_PROTO_Y_PROTOC_FACT_TEODOR_LEAVES","Teodor says he left the lab building sometime between 20:40 and 20:55.","Teodor nói anh rời tòa nhà phòng thí nghiệm trong khoảng từ 20:40 đến 20:55."
"DED_PROTO_Y_PROTOC_FACT_TEODOR_TRAVEL","The campus shuttle timetable shows the fastest trip from the lab building to Riverside Gym takes at least 20 minutes.","Lịch xe đưa đón khuôn viên cho thấy chuyến đi nhanh nhất từ tòa nhà phòng thí nghiệm đến Riverside Gym mất ít nhất 20 phút."
"DED_PROTO_Y_PROTOC_FACT_COAT_BORROWED","The laundry sheet places the lab coat being borrowed between 20:52 and 20:58.","Sổ giặt ghi thời điểm áo blouse được mượn trong khoảng từ 20:52 đến 20:58."
"DED_PROTO_Y_PROTOC_FACT_COAT_RETURNED","The same sheet places the lab coat being returned between 21:22 and 21:28.","Cùng cuốn sổ đó ghi thời điểm áo blouse được trả lại trong khoảng từ 21:22 đến 21:28."
"DED_PROTO_Y_PROTOC_FACT_HATCH_AFTER_ENTRY","The vent hatch was forced open at least a minute after the key card was used to enter.","Nắp thông gió bị phá mở ít nhất một phút sau khi thẻ từ được dùng để vào phòng."
"DED_PROTO_Y_PROTOC_FACT_HATCH_HEARD","The loading-bay camera's audio picks up the hatch being forced sometime between 21:13 and 21:19.","Âm thanh từ camera khu bốc dỡ ghi nhận nắp thông gió bị phá trong khoảng từ 21:13 đến 21:19."
"DED_PROTO_Y_PROTOC_FACT_HATCH_NOT_DURING_ERRAND","The hatch could not have been forced at the exact same moment the waste bin was being taken out.","Nắp thông gió không thể bị phá đúng vào lúc thùng rác đang được đẩy ra ngoài."
"DED_PROTO_Y_PROTOC_FACT_BIN_WINDOW","The waste collection manifest places the pickup between 21:16 and 21:20.","Phiếu thu gom chất thải ghi thời điểm thu gom trong khoảng từ 21:16 đến 21:20."
"DED_PROTO_Y_PROTOC_CONTRADICTION_EXP","Your confirmed timeline places the waste bin pickup at %s — but Bruno claims he had already finished his round and left by 20:45. Those can't both be true.","Trên mốc thời gian bạn đã xác nhận, việc đẩy thùng rác ra ngoài diễn ra lúc %s — nhưng Bruno lại nói anh đã làm xong ca và rời đi trước 20:45. Hai điều đó không thể cùng đúng."
"DED_PROTO_Y_PROTOC_COMPLETION","Your reconstructed timeline holds up under every confirmed fact — and it makes Bruno's claim about leaving early impossible.","Mốc thời gian bạn tái dựng đứng vững trước mọi sự kiện đã xác nhận — và nó khiến lời khai của Bruno về việc rời sớm trở nên không thể xảy ra."
"DED_PROTO_Y_PROTOC_HINT_1","Start with the two fixed anchors — the key card and the gym check-in — then work outward from them.","Hãy bắt đầu từ hai mốc cố định — thẻ từ và lượt quẹt vào phòng gym — rồi suy ra các sự kiện còn lại từ đó."
"DED_PROTO_Y_PROTOC_HINT_2","Teodor's claimed departure window only narrows down to a few minutes once you also account for how long the shuttle trip to Riverside Gym takes.","Khoảng thời gian Teodor nói anh rời đi chỉ thu hẹp còn vài phút khi bạn tính thêm thời gian đi xe đưa đón đến Riverside Gym."
"DED_PROTO_Y_PROTOC_HINT_3","The hatch can only have been forced after the key card was used — and never at the exact same minute as the waste bin pickup.","Nắp thông gió chỉ có thể bị phá sau khi thẻ từ được dùng — và không bao giờ đúng vào phút mà việc thu gom thùng rác diễn ra."
"DED_PROTO_Y_PROTOC_HINT_4","Compare the waste bin's own confirmed pickup window against when the hatch was heard being forced — only one order of those two events fits every fact.","Hãy so sánh khoảng thời gian thu gom thùng rác đã xác nhận với thời điểm nghe thấy nắp thông gió bị phá — chỉ có một thứ tự giữa hai sự kiện này khớp với mọi sự kiện đã biết."
"DED_PROTO_Z_PROTOC_OBJECTIVE","Reconstruct the morning's events at the customs depot, from Nadia leaving to the scanner being returned, using only the confirmed facts below.","Hãy tái dựng lại trình tự các sự kiện buổi sáng tại kho hải quan, từ lúc Nadia rời đi đến khi máy quét được trả lại, chỉ dựa trên những sự kiện đã xác nhận dưới đây."
"DED_PROTO_Z_PROTOC_FACT_SEAL_TIME","The seal registry confirms the scanner was used to seal parcel 118 at exactly 06:42.","Sổ đăng ký niêm phong xác nhận máy quét đã được dùng để niêm phong kiện hàng 118 vào đúng lúc 06:42."
"DED_PROTO_Z_PROTOC_FACT_FERRY_TIME","The ferry gate record confirms Nadia's ticket was scanned boarding at North Pier at exactly 06:38.","Dữ liệu cổng lên phà xác nhận vé của Nadia được quét khi lên phà tại Bến Bắc vào đúng lúc 06:38."
"DED_PROTO_Z_PROTOC_FACT_NADIA_LEAVES","Nadia says she left the depot sometime between 05:55 and 06:10.","Nadia nói cô rời kho hải quan trong khoảng từ 05:55 đến 06:10."
"DED_PROTO_Z_PROTOC_FACT_NADIA_TRAVEL","The port map note shows the fastest route from the depot to North Pier takes at least 30 minutes.","Ghi chú bản đồ cảng cho thấy tuyến đường nhanh nhất từ kho hải quan đến Bến Bắc mất ít nhất 30 phút."
"DED_PROTO_Z_PROTOC_FACT_SCANNER_TAKEN","The equipment locker log places the scanner being taken from the charging dock between 06:18 and 06:22.","Sổ tủ thiết bị ghi thời điểm máy quét được lấy khỏi đế sạc trong khoảng từ 06:18 đến 06:22."
